image_id: 0067
case: success #7
margin (DCTNet - best_other): +0.0257
best_other_model: Cellpose3

=== Per-model mIoU on this image ===
  DCTNet        : 0.9183 ★
  Cellpose3     : 0.8926
  MSDU-Net      : 0.8905
  STDC1         : 0.8811
  KDSNet-R101   : 0.8751
  KDSNet-R50    : 0.8743
  STDC2         : 0.8738
  BEVANet       : 0.8669
  BiSeNetV2     : 0.8591
  NAFNet        : 0.8373
  SegNeXt-B     : 0.7954
  SegNeXt-T     : 0.7932
  ESMDL-UNet    : 0.7824
  MSDSeg        : 0.7611
  DDRNet-23     : 0.7112
  SegNeXt-S     : 0.7043
  Fast-SCNN     : 0.6787

Files:
  input.png             — original image
  gt_mask.png           — RGBA: white=blur, semi-transparent black=sharp
  gt_overlay.png        — GT mask overlaid (sharp regions darkened)
  {model}_mask.png      — prediction mask (15 models)
  {model}_overlay.png   — prediction overlaid (15 models)
